schwedisch,deutsch,chapter,checkword,erfolg
"singel (-n, singlar, singlarna)",Single,1_4,singel,0
"min (mitt, -a) (possessivt pronomen)","mein, meiner, meines, meine (Possessivpronomen)",1_4,min,0
"man (-nen, män, männen) ","Mann, Ehemann",1_4,man,0
"schweizare (-n, =, schweizarna) ",Schweizer,1_4,schweizare,0
men ,aber,1_4,men,0
"ha (har, hade, haft)",haben,1_4,ha,0
två ,zwei,1_4,tva,0
en ,"ein, einer, eines, eine",1_4,en,0
"son (-en, söner, sönerna)  ",Sohn,1_4,son,0
"dotter (-n, döttrar, döttrarna) ",Tochter,1_4,dotter,0
"svensk (-t, -a) ",schwedisch,1_4,svensk,0
också ,auch,1_4,ocksa,0
"flickvän (-nen, -ner, -nerna)  ",Freundin (Liebesbeziehung),1_4,flickvän,0
"bo (-r, -dde, -tt) ihop",zusammen wohnen,1_4,bo ihop,0
"bo (-r, -dde, -tt) ",wohnen,1_4,bo,0
ihop ,zusammen,1_4,ihop,0
i [USA],in [den USA],1_4,i [USA],0
Det är toppen!,Das ist spitze!,1_4,Det är toppen!,0
"gifta (-er, -te, -t) sig",heiraten,1_4,gifta sig,0
"par (-et, =, -en)  ",Paar,1_4,par,0
Sverige ,Schweden,1_4,Sverige,0
"skilja (-er, skilde, skilt) sig",sich scheiden lassen,1_4,skilja sig,0
samma,"derselbe, dieselbe, dasselbe",1_4,samma,0
"år (-et, =, -en) ",Jahr,1_4,ar,0
"kvinna (-n, -or, -orna) ",Frau,1_4,kvinna,0
sedan [2009],seit [2009],1_4,sedan [2009],0
"skild (skilt, skilda) ",geschieden,1_4,skild,0
"separerad (separerat, separerade) ",getrennt,1_4,separerad,0
"tjej (-en, -er, -erna) ","Mädchen, (junge) Frau, Freundin (Liebesbeziehung)",1_4,tjej,0
"pojkvän (-nen, -ner, -nerna) ",Freund (Liebesbeziehung),1_4,pojkvän,0
"kille (-n, killar, killarna)","Junge, (junger) Mann, Typ, Freund (Liebesbeziehung)",1_4,kille,0
"fru (-n, -ar, -arna) ",Ehefrau,1_4,fru,0
"pojke (-n, pojkar, pojkarna) ",Junge,1_4,pojke,0
"flicka (-n, -or, orna) ",Mädchen,1_4,flicka,0
"bonusbarn (-et, =, -en) ",Stiefkind (wörtlich: Bonuskind),1_4,bonusbarn,0
"tala (-r, -de, -t) om","reden über, sich unterhalten über",1_4,tala om,0
"familj (-en, -er, -erna) ",Familie,1_4,familj,0
"skriva (skriver, skrev, skrivit) [om]",schreiben [über/von],1_4,skriva [om],0
"text (-en, -er, -erna)",Text,1_4,text,0
"person (-en, -er, -erna)",Person,1_4,person,0
på fotot,auf dem Foto,1_4,pa fotot,0
"stryka (stryker, strök, strukit) under ",unterstreichen,1_4,stryka under,0
alla,alle,1_4,alla,0
England,England,1_4,England,0
på universitetet,an der Universität,1_4,pa universitetet,0
"universitet (-et, =, -en) ",Universität,1_4,universitet,0
"jobba (-r, -de, -t) extra ",nebenbei arbeiten (im besonderen: neben dem Studium),1_4,jobba extra,0
nära ,"nahe, in der Nähe",1_4,nära,0
"sortera (-r, -de, -t)",sortieren,1_4,sortera,0
"säga (säger, sade/sa, sagt)",sagen,1_4,säga,0
"mening (-en, -ar, -arna)","Satz; Meinung, Ansicht",1_4,mening,0
"alfabet (-et, =, -en) ",Alphabet,1_5,alfabet,0
"efternamn (-et, =, -en) ",Nachname,1_5,efternamn,0
"stava (-r, -de, -t) ",schreiben (im Sinn von buchstabieren),1_5,stava,0
tyska (-n),Deutsch,1_5,tyska,0
Schweiz,Schweiz,1_5,Schweiz,0
Hur mår du?,Wie geht es dir?,2_1,Hur mar du?,0
hur,wie,2_1,hur,0
"må (-r, -dde, -tt)",sich fühlen ,2_1,ma,0
bara,nur,2_1,bara,0
tack ,danke,2_1,tack,0
Jo tack.,"Ja (doch), danke.",2_1,Jo tack.,0
jo,"doch, gewiss",2_1,jo,0
Det är bra. ,Mir geht es gut. (wörtlich: Es ist gut.),2_1,Det är bra.,0
Tjena!,Hi!,2_1,Tjena!,0
Hur är läget?,Was läuft? (wörtlich: Wie ist die Lage?),2_1,Hur är läget?,0
"läge (-t, -n, -na) ",Lage,2_1,läge,0
Det är lugnt. ,Alles gut./Läuft. (wörtlich: Alles ruhig.),2_1,Det är lugnt.,0
"lugn (-t, -a) ",ruhig,2_1,lugn,0
Själv? ,Selbst?,2_1,Själv?,0
"själv (-t, -a) ","selbst, selber",2_1,själv,0
kanonbra ,super (wörtlich: kanonengut),2_1,kanonbra,0
"kanon (-en, -er, -erna)",Kanone,2_1,kanon,0
Hejsan! ,"Hallo!, Hallöchen!",2_1,Hejsan!,0
Hur är det? ,Wie geht’s? (wörtlich: Wie ist es?),2_1,Hur är det?,0
Fint! ,Gut!,2_1,Fint!,0
Allt väl? ,Alles gut?,2_1,Allt väl?,0
väl ,wohl,2_1,väl,0
helt ,ganz,2_1,helt,0
okej ,"okay, in Ordnung",2_1,okej,0
för mycket ,zu viel,2_1,för mycket,0
jodå (auch: jo då),ja doch,2_1,joda,0
som vanligt ,wie immer,2_1,som vanligt,0
"vanlig (-t, -a) ",gewöhnlich,2_1,vanlig,0
Tja!,Hi!,2_1,Tja!,0
så där ,"geht so, soso lala",2_1,sa där,0
dig (objektspronomen),"dir, dich (Objektpronomen)",2_1,dig,0
nja ,naja,2_1,nja,0
Hur står det till? ,Wie geht es?,2_1,Hur star det till?,0
ganska ,ziemlich,2_1,ganska,0
"dålig (-t, -a) ",schlecht,2_1,dalig,0
faktiskt ,"ehrlich gesagt, in der Tat, tatsächlich",2_1,faktiskt,0
förkyld,erkältet,2_1,förkyld,0
så ,so,2_1,sa,0
"trött (=, -a)",müde,2_1,trött,0
God morgon! ,Guten Morgen! ,2_1,God morgon!,0
"god (gott, -a) ",gut,2_1,god,0
"morgon (-en, morgnar, morgnarna)",Morgen,2_1,morgon,0
jätte[trött] ,"sehr [müde], super[müde]",2_1,jätte[trött],0
Oj då! ,Oje!/O weh!,2_1,Oj da!,0
"dricka (dricker, drack, druckit)  ",trinken,2_1,dricka,0
"hälsa (-r, -de, -t) ",grüssen,2_1,hälsa,0
Hej hej!,"Hallo, hallo!; als Verabschiedung: Tschüss, Tschüss!",2_1,Hej hej!,0
Hallå!,Hallo!,2_1,Halla!,0
God dag. ,Guten Tag.,2_1,God dag.,0
"dag (-en, -ar, -arna) ",Tag,2_1,dag,0
för (konjunktion),denn (Konjunktion),2_2,för,0
"intresserad (intresserat, intresserade) av",interessiert an ,2_2,intresserad av,0
"jobba (-r, -de, -t) som [journalist]",arbeiten als [Journalist/in],2_2,jobba som [journalist],0
"journalist (-en, -er, -erna) ",Journalist/in,2_2,journalist,0
"skriva (skriver, skrev, skrivit) för ngn/ngt",für jmdn./etw. schreiben,2_2,skriva för ngn/ngt,0
"thailändsk (-t, -a)",thailändisch,2_2,thailändsk,0
"tidning (-en, -ar, -arna) ",Zeitung,2_2,tidning,0
på nätet,im Netz (Internet),2_2,pa nätet,0
"nät (-et, =, -en) ",Netz,2_2,nät,0
Norden ,Nordeuropa,2_2,Norden,0
"trivas (trivs, trivdes, trivts) ",sich wohlfühlen,2_2,trivas,0
"längta (-r, -de, -t) efter ngn/ngt",sich sehnen nach jmdm./etw.,2_2,längta efter ngn/ngt,0
"vän (-nen, -ner, -nerna) ",Freund,2_2,vän,0
Thailand ,Thailand,2_2,Thailand,0
ofta ,oft,2_2,ofta,0
"prata (-r, -de, -t) på Skype",skypen (wörtlich: auf Skype reden),2_2,prata pa Skype,0
"prata (-r, -de, -t) i telefon",telefonieren,2_2,prata i telefon,0
"telefon (-en, -er, -erna) ",Telefon,2_2,telefon,0
"IT-ingenjör (-en, -er, -erna) ",IT-Ingenieur/in,2_2,IT-ingenjör,0
"spelföretag (-et, =, -en) ",Spieleunternehmen,2_2,spelföretag,0
"spel (-et, =, -en) ",Spiel,2_2,spel,0
"företag (-et, =, -en) ",Unternehmen,2_2,företag,0
i stan,in der Stadt,2_2,i stan,0
"stad (-en, städer, städerna)",Stadt,2_2,stad,0
på jobbet,auf der Arbeit,2_2,pa jobbet,0
"katt (-en, -er, -erna) ",Katze,2_2,katt,0
"sol (-en, -ar, -arna) ",Sonne,2_2,sol,0
ibland ,manchmal,2_2,ibland,0
"mamma (-n, -or, -orna) ",Mama,2_2,mamma,0
"pappa (-n, -or, -orna) ",Papa,2_2,pappa,0
till [Sverige],nach [Schweden],2_2,till [Sverige],0
"vecka (-n, -or, -orna) ",Woche,2_2,vecka,0
i sommar ,diesen Sommer,2_2,i sommar,0
"sommar (-en, somrar, somrarna) ",Sommer,2_2,sommar,0
"bli (blir, blev, blivit) ",werden,2_2,bli,0
"rolig (-t, -a) ","schön, lustig, erfreulich",2_2,rolig,0
"deckare (-n, =, deckarna) ",Krimi,2_2,deckare,0
"jazz (-en, -) ",Jazz,2_2,jazz,0
hemma,zu Hause,2_2,hemma,0
"fest (-en, -er, -erna) ","Fest, Party",2_3,fest,0
"klasskompis (-en, -ar, -arna)  ",Klassenkamerad/in,2_3,klasskompis,0
"välkommen (välkommet, välkomna)  ",willkommen,2_3,välkommen,0
Det här är [min flickvän].,Dies ist [meine Freundin].,2_3,Det här är [min flickvän].,0
Vad trevligt!,Freut mich! (Wörtlich: Wie nett!),2_3,Vad trevligt!,0
Trevligt att träffas!,"Freut mich, dich/euch kennenzulernen.",2_3,Trevligt att träffas!,0
"trevlig (-t, -a) ","nett, angenehm, gemütlich",2_3,trevlig,0
att (infinitivmärket),zu (Infinitivzusatz),2_3,att,0
"träffas (träffas, träffades, träffats) ",sich treffen,2_3,träffas,0
"fin (-t, -a) ","schön, fein",2_3,fin,0
"lägenhet (-en, -er, -erna) ",Wohnung,2_3,lägenhet,0
Kom in! ,Komm/Kommt herein! ,2_3,Kom in!,0
precis ,genau,2_3,precis,0
förlåt,Verzeihung,2_3,förlat,0
"förstå (förstår, förstod, förstått) ",verstehen,2_3,första,0
"webbtidning (-en, -ar, -arna) ",Webzeitung,2_3,webbtidning,0
thai (unveränderlich),Thai(ländisch),2_3,thai,0
"artikel (-n, artiklar, artiklarna) [om]",Artikel [über],2_3,artikel [om],0
"mat (-en, -) ",Essen,2_3,mat,0
"skola (ska, skulle, skolat)","werden, wollen, sollen",2_3,skola,0
"gå (går, gick, gått) ",gehen,2_3,ga,0
Det var roligt att träffas.,"Es hat mich gefreut, dich/euch kennenzulernen.",2_3,Det var roligt att träffas.,0
Tack detsamma.,Danke gleichfalls.,2_3,Tack detsamma.,0
Vi ses! ,Wir sehen uns!/Bis bald!,2_3,Vi ses!,0
"ses (ses, sågs, setts) ",sich sehen,2_3,ses,0
"se (ser, såg, sett)",sehen,2_3,se,0
Just det. ,Genau.,2_3,Just det.,0
Ha det så bra! ,Mach's gut!,2_3,Ha det sa bra!,0
Du med! ,Du auch!,2_3,Du med!,0
Hej då!  ,Tschüss!,2_3,Hej da!,0
"fras (-en, -er, -erna)",Phrase,2_3,fras,0
"komplettera (-r, -de, -t)","komplettieren, vervollständigen, ergänzen",2_3,komplettera,0
Grekland,Griechenland,2_3,Grekland,0
"frågeord (-et, =, -en)",Fragewort,2_3,frageord,0
varför  ,warum,2_3,varför,0
Kina,China,2_3,Kina,0
i väskan,in der/in die Tasche,2_4,i väskan,0
"väska (-n, -or, -orna)  ",Tasche,2_4,väska,0
"folk (-et, =, -en)","Leute, Menschen; Volk",2_4,folk,0
på stan,in der Stadt; in die Stadt,2_4,pa stan,0
tja ,"naja, tja",2_4,tja,0
"mobiltelefon (-en, -er, -erna) ",Handy,2_4,mobiltelefon,0
"tuggummipaket (-et, =, -en)  ",Kaugummipackung,2_4,tuggummipaket,0
"tuggummi (-t, -n, -na) ",Kaugummi,2_4,tuggummi,0
"paket (-et, =, -en) ",Packung,2_4,paket,0
"läsplatta (-n, -or, -orna)",E-Book-Reader (wörtlich: Leseplatte),2_4,läsplatta,0
"kam (-men, -mar, -marna) ",Kamm,2_4,kam,0
"ordbok (-en, ordböcker, ordböckerna) ",Wörterbuch,2_4,ordbok,0
"cerat (-et, =, -en) ","Lippenpomade, Fettstift",2_4,cerat,0
"mössa (-n, -or, -orna) ",Mütze,2_4,mössa,0
"suddgummi (-t, -n, -na) ",Radiergummi,2_4,suddgummi,0
Tack så mycket.,Vielen Dank.,2_4,Tack sa mycket.,0
Det var så lite. ,Gern geschehen. (wörtlich: Es war so wenig.),2_4,Det var sa lite.,0
"lista (-n, -or, -orna)",Liste,2_4,lista,0
"bussbiljett (-en, -er, -erna)  ",Busfahrkarte,2_4,bussbiljett,0
"läppglans (-et, -) ",Lipgloss,2_4,läppglans,0
"banan (-en, -er, -erna) ",Banane,2_4,banan,0
en flaska vatten ,eine Flasche Wasser,2_4,en flaska vatten,0
"flaska (-n, -or, -orna) ",Flasche,2_4,flaska,0
"läsk (-en, =, -en)","Softdrink, Limo",2_4,läsk,0
pengar (-na) ,Geld,2_4,pengar,0
"nyckel (-n, nycklar, nycklarna)  ",Schlüssel,2_4,nyckel,0
"tröja (-n, -or, -orna) ","Pullover, T-Shirt",2_4,tröja,0
ett par skor ,ein paar Schuhe,2_4,ett par skor,0
"sko (-n, -r, -rna) ",Schuh,2_4,sko,0
"necessär (-en, -er, -erna) ","Necessaire, Kulturbeutel",2_4,necessär,0
"dator (-n, -er, -erna) ",Computer,2_4,dator,0
"pass (-et, =, -en) ",Pass,2_4,pass,0
"räkna (-r, -de, -t) ","zählen, rechnen",3_1,räkna,0
"siffra (-n, -or, -orna) ",Ziffer,3_1,siffra,0
"plats (-en, -er, -erna)  ",Platz,3_1,plats,0
"lyssna (-r, -de, -t) på",zuhören,3_1,lyssna pa,0
man (indefinit pronomen),man (Indefinitpronomen),3_1,man,0
"uttala (-r, -de, -t)",aussprechen,3_1,uttala,0
"markera (-r, -de, -t)",markieren,3_1,markera,0
"ljud (-et, =, -en)  ",Laut,3_1,ljud,0
kanske,vielleicht,3_1,kanske,0
"lyssna (-r, -de, -t)",hören,3_1,lyssna,0
"vilken (vilket, vilka)","welche, welcher, welches",3_2,vilken,0
"gata (-n, -or, -orna) ",Strasse,3_2,gata,0
på [Linnégatan],an der [Linnéstrasse],3_2,pa [Linnégatan],0
där,dort,3_2,där,0
"nummer (numret, =, numren)  ",Nummer,3_2,nummer,0
hur många ,wie viele,3_2,hur manga,0
många,viele,3_2,manga,0
"telefonnummer (-numret, =, -numren) ",Telefonnummer,3_2,telefonnummer,0
"ringa (-er, -de, -t) ",anrufen,3_2,ringa,0
imorgon ,morgen,3_2,imorgon,0
när  ,wann,3_2,när,0
"född (fött, -a)",geboren,3_2,född,0
som (konjunktion),wie; als (Konjunktion),3_2,som,0
"lillasyster (-n, småsystrar, småsystrarna) ",kleine Schwester,3_2,lillasyster,0
"morfar (morfadern, morfäder, morfäderna)",Grossvater mütterlicherseits,3_2,morfar,0
"gammal (-t, gamla) ",alt,3_2,gammal,0
Ojojoj!,Uiuiui!,3_2,Ojojoj!,0
mycket ,sehr (Adverb); viel (Adjektiv),3_2,mycket,0
jamen ,ja aber,3_2,jamen,0
faktiskt inte ,auch wieder nicht,3_2,faktiskt inte,0
Jag fyller 83 i år.,Ich werde dieses Jahr 83.,3_2,Jag fyller 83 i ar.,0
"fylla (-er, -de, -t) år",Geburtstag haben (wörtlich: das Jahr füllen),3_2,fylla ar,0
"fylla (-er, -de, -t)",füllen,3_2,fylla,0
i år,dieses Jahr,3_2,i ar,0
hur mycket,wie viel,3_2,hur mycket,0
ungefär ,ungefähr,3_2,ungefär,0
Vad mycket!  ,Wie viel!,3_2,Vad mycket!,0
"tal (-et, =, -en) ",Zahl,3_2,tal,0
Hur mycket är klockan?,Wie spät ist es? (Wörtlich: Wie viel ist die Uhr?),3_3,Hur mycket är klockan?,0
"klocka (-n, -or, -orna) ",Uhr,3_3,klocka,0
Hon är ...,Es ist ... (Uhrzeit),3_3,Hon är ...,0
halv [sju],halb [sieben],3_3,halv [sju],0
Vad är klockan?,Wie spät ist es? (Wörtlich: Was ist die Uhr?),3_3,Vad är klockan?,0
Den är ...,Es ist ... (Uhrzeit),3_3,Den är ...,0
[fem] över [sju],[fünf] nach [sieben],3_3,[fem] över [sju],0
Har du en klocka?,Hast du eine Uhr?,3_3,Har du en klocka?,0
kvart i [sju],viertel vor [sieben],3_3,kvart i [sju],0
redan,"bereits, schon",3_3,redan,0
"veta (vet, visste, vetat)",wissen,3_3,veta,0
prick [sju],Punkt [sieben],3_3,prick [sju],0
"sekund (-en, -er, -erna) ",Sekunde,3_3,sekund,0
"minut (-en, -er, -erna) ",Minute,3_3,minut,0
"kvart (-en, -ar, -arna)",Viertel,3_3,kvart,0
"halvtimme (-n, halvtimmar, halvtimmarna)",halbe Stunde ,3_3,halvtimme,0
"timme (-n, timmar, timmarna)  ",Stunde,3_3,timme,0
"fråga (-r, -de, -t) ngn om ngt",jmdn. nach etw. fragen,3_3,fraga ngn om ngt,0
"tid (-en, -er, -erna) ",Zeit,3_3,tid,0
"fika (-t, -)","Kaffeepause, Kaffeetrinken",3_3,fika,0
"program (-met, =, -men) ",Programm,3_3,program,0
för,für,3_3,för,0
"konferens (-en, -er, -erna) ",Tagung,3_3,konferens,0
självklart ,selbstverständlich,3_3,självklart,0
Kanon! ,Super! (wörtlich: Kanone!),3_3,Kanon!,0
vilken tid ,um welche Zeit,3_3,vilken tid,0
"börja (-r, -de, -t) ","anfangen, beginnen",3_3,börja,0
klockan [nio],um [neun] Uhr,3_3,klockan [nio],0
hur dags ,wann,3_3,hur dags,0
"äta (äter, åt, ätit) ",essen,3_3,äta,0
"lunch (-en, -er, -erna) ",Mittagessen,3_3,lunch,0
"tro (-r, -dde, -tt)",glauben,3_3,tro,0
"fikapaus (-en, -er, -erna)",Kaffeepause,3_3,fikapaus,0
sista ,"letzter, letzte, letztes",3_3,sista,0
"fråga (-n, -or, -orna)",Frage,3_3,fraga,0
"sluta (-r, -de, -t) ","enden, aufhören",3_3,sluta,0
vid [fem] ,um [fünf] ,3_3,vid [fem],0
"titta (-r, -de, -t)",schauen,3_4,titta,0
i texten,im Text,3_4,i texten,0
nedanför,"unten, unterhalb",3_4,nedanför,0
"aktivitet (-en, -er, -erna) ",Aktivität,3_4,aktivitet,0
"vakna (-r, -de, -t) ",aufwachen,3_4,vakna,0
"stiga (stiger, steg, stigit) upp ",aufstehen,3_4,stiga upp,0
"frukost (-en, -ar, -arna) ",Frühstück,3_4,frukost,0
"ta (tar, tog, tagit) ",nehmen,3_4,ta,0
"taxi (-n, taxibilar, taxibilarna) ",Taxi,3_4,taxi,0
"dansa (-r, -de, -t) ",tanzen,3_4,dansa,0
"väninna (-n, -or, -orna) ",Freundin,3_4,väninna,0
"röka (-er, -te, -t) ",rauchen,3_4,röka,0
"promenera (-r, -de, -t) ",spazieren,3_4,promenera,0
"mejl (-et, =, -en)",E-Mail,3_4,mejl,0
"städa (-r, -de, -t) ","putzen, aufräumen",3_4,städa,0
"ta (tar, tog, tagit) en tupplur",ein Nickerchen machen (wörtlich: nehmen),3_4,ta en tupplur,0
"tupplur (-en, -ar, -arna)  ",Nickerchen,3_4,tupplur,0
"laga (-r, -de, -t) mat ","kochen (im Sinn von ""Essen zubereiten"")",3_4,laga mat,0
"middag (-en, -ar, -arna) ",Abendessen,3_4,middag,0
"diska (-r, -de, -t) ",abwaschen,3_4,diska,0
"spela (-r, -de, -t) ",spielen,3_4,spela,0
"gitarr (-en, -er, -erna) ",Gitarre,3_4,gitarr,0
"lyssna (-r, -de, -t) på [radio]",[Radio] hören,3_4,lyssna pa [radio],0
"radio (-n, -apparater, -apparaterna) ",Radio,3_4,radio,0
"surfa (-r, -de, -t) på Internet",im Internet surfen,3_4,surfa pa Internet,0
